model_init_seed,lr,num_epochs,model_code,siren_omega,params,best_iter,loss
15.0,0.0001,500.0,siren,30.0,791043,500,0.012919008731842041
15.0,0.0001,500.0,siren,10.0,791043,500,0.036576103419065475
15.0,0.0001,500.0,siren,60.0,791043,500,0.003051539184525609
15.0,0.0001,500.0,siren,45.0,791043,493,0.00707785552367568
15.0,0.0001,500.0,siren,20.0,791043,500,0.019296055659651756
15.0,0.0005,500.0,siren,30.0,791043,343,0.0004312465898692608
15.0,0.0005,500.0,siren,10.0,791043,500,0.01827712543308735
15.0,0.0005,500.0,siren,60.0,791043,388,7.537595934081764e-07
15.0,0.0005,500.0,siren,45.0,791043,471,1.4136988966129138e-06
15.0,0.0005,500.0,siren,20.0,791043,500,0.0009590014815330505
15.0,0.001,500.0,siren,30.0,791043,352,9.557556523986932e-08
15.0,0.001,500.0,siren,10.0,791043,500,0.002835261868312955
15.0,0.001,500.0,siren,60.0,791043,5,0.9920578002929688
15.0,0.001,500.0,siren,45.0,791043,394,5.663795832333562e-07
15.0,0.001,500.0,siren,20.0,791043,459,3.105619180132635e-05
15.0,1e-05,500.0,siren,30.0,791043,500,0.05625985190272331
15.0,1e-05,500.0,siren,10.0,791043,500,0.09133820980787277
15.0,1e-05,500.0,siren,60.0,791043,500,0.05129244923591614
15.0,1e-05,500.0,siren,45.0,791043,500,0.05268879234790802
15.0,1e-05,500.0,siren,20.0,791043,500,0.06590158492326736
