model_init_seed,weight_decay,lr,num_epochs,model_code,params,loss
10.0,0.0,0.0001,500.0,siren,67331,7.2128364990931e-05
10.0,0.0,0.0005,500.0,siren,67331,1.4169094356475398e-05
10.0,0.0,0.001,500.0,siren,67331,1.801017606339883e-05
10.0,0.0,0.005,500.0,siren,67331,0.001900397939607501
10.0,0.0,0.01,500.0,siren,67331,0.04346608370542526
10.0,0.0,0.05,500.0,siren,67331,1.2171213711553719e-05
10.0,0.0,0.1,500.0,siren,67331,1.2138935744587798e-05
10.0,0.0,0.5,500.0,siren,67331,1.2025680916849524e-05
10.0,0.0,1e-05,500.0,siren,67331,1.0378888845443726
10.0,0.0,5e-05,500.0,siren,67331,0.0003061751485802233
15.0,0.0,0.0001,500.0,siren,67331,7.627620652783662e-05
15.0,0.0,0.0005,500.0,siren,67331,1.1982616342720576e-05
15.0,0.0,0.001,500.0,siren,67331,1.665043419052381e-05
15.0,0.0,0.005,500.0,siren,67331,0.0014714699937030673
15.0,0.0,0.01,500.0,siren,67331,0.048343557864427567
15.0,0.0,0.05,500.0,siren,67331,1.2174169569334481e-05
15.0,0.0,0.1,500.0,siren,67331,1.212703045894159e-05
15.0,0.0,0.5,500.0,siren,67331,1.2023487215628847e-05
15.0,0.0,1e-05,500.0,siren,67331,1.1108214855194092
15.0,0.0,5e-05,500.0,siren,67331,0.00037872145185247064
20.0,0.0,0.0001,500.0,siren,67331,6.332265184028074e-05
20.0,0.0,0.0005,500.0,siren,67331,1.3966070582682732e-05
20.0,0.0,0.001,500.0,siren,67331,1.608982711331919e-05
20.0,0.0,0.005,500.0,siren,67331,0.0023572638165205717
20.0,0.0,0.01,500.0,siren,67331,0.043805550783872604
20.0,0.0,0.05,500.0,siren,67331,1.2170876289019361e-05
20.0,0.0,0.1,500.0,siren,67331,1.2148630048613995e-05
20.0,0.0,0.5,500.0,siren,67331,1.2019349924230482e-05
20.0,0.0,1e-05,500.0,siren,67331,1.0259859561920166
20.0,0.0,5e-05,500.0,siren,67331,0.00043772434582933784
25.0,0.0,0.0001,500.0,siren,67331,7.506264955736697e-05
25.0,0.0,0.0005,500.0,siren,67331,1.4206140804162715e-05
25.0,0.0,0.001,500.0,siren,67331,1.8397227904642932e-05
25.0,0.0,0.005,500.0,siren,67331,0.0019918782636523247
25.0,0.0,0.01,500.0,siren,67331,0.04374885559082031
25.0,0.0,0.05,500.0,siren,67331,1.217149656440597e-05
25.0,0.0,0.1,500.0,siren,67331,1.2147485904279165e-05
25.0,0.0,0.5,500.0,siren,67331,1.2032443919451907e-05
25.0,0.0,1e-05,500.0,siren,67331,1.1100534200668335
25.0,0.0,5e-05,500.0,siren,67331,0.00038059521466493607
5.0,0.0,0.0001,500.0,siren,67331,8.146533218678087e-05
5.0,0.0,0.0005,500.0,siren,67331,1.3167450561013538e-05
5.0,0.0,0.001,500.0,siren,67331,1.682247057033237e-05
5.0,0.0,0.005,500.0,siren,67331,0.0016668402822688222
5.0,0.0,0.01,500.0,siren,67331,0.048046283423900604
5.0,0.0,0.05,500.0,siren,67331,1.2177363714727107e-05
5.0,0.0,0.1,500.0,siren,67331,1.2152597264503129e-05
5.0,0.0,0.5,500.0,siren,67331,1.2036147381877527e-05
5.0,0.0,1e-05,500.0,siren,67331,1.1406718492507935
5.0,0.0,5e-05,500.0,siren,67331,0.00039565956103615463
